NO.1,NO.2,diff-correlation
32,244,5.53298,
32,283,12.8447,
32,292,6.29382,
32,298,9.06181,
32,309,6.99504,
32,317,5.05283,
32,324,31.1253,
32,351,13.1568,
32,367,5.63161,
33,36,12.6416,
33,43,35.8573,
33,44,13.3641,
33,48,12.6649,
33,59,7.032,
33,74,52.5413,
33,84,20.6574,
33,97,6.55885,
33,128,12.1689,
33,132,6.3598,
33,178,8.77368,
33,185,5.20235,
33,193,245.309,
33,196,8.75628,
33,214,5.75777,
33,225,8.8047,
33,226,5.42772,
33,239,5.29333,
33,245,19.9,
33,262,7.21281,
33,263,5.8083,
33,267,11.6248,
33,276,5.03966,
33,320,14.064,
33,332,5.52037,
33,340,20.4963,
33,349,9.17104,
33,351,9.2515,
33,358,7.68635,
33,359,5.89384,
33,362,5.75141,
33,363,8.87261,
33,366,18.2039,
33,369,5.52496,
33,373,7.43732,
33,374,9.64419,
33,378,37.315,
33,382,7.69632,
34,62,13.0464,
34,73,11.0163,
34,90,31.6466,
34,105,5.35305,
34,107,6.72145,
34,109,6.34189,
34,111,6.42367,
34,112,8.12004,
34,116,17.3181,
34,121,6.27684,
34,145,8.23929,
34,159,14.5622,
34,181,5.78728,
34,183,7.58076,
34,210,6.24961,
34,261,7.94333,
34,283,5.96531,
34,307,17.0506,
34,312,26.4894,
34,313,12.8379,
34,315,123.89,
34,326,5.54047,
34,342,7.29552,
34,370,850.141,
34,385,5.9616,
34,388,6.01645,
35,36,13.6561,
35,50,14.1771,
35,57,5.68588,
35,60,5.17464,
35,76,6.67113,
35,82,7.94056,
35,84,186.094,
35,106,9.82633,
35,118,13.6273,
35,126,5.47345,
35,150,28.6369,
35,226,7.24557,
35,258,8.26908,
35,276,7.24929,
35,283,465.85,
35,355,5.57281,
35,370,6.94994,
36,41,123.839,
36,54,159.899,
36,62,415.484,
36,69,18.7062,
36,90,7.63921,
36,99,28.0317,
36,107,12.8032,
36,111,18.7806,
36,112,141.963,
36,114,5.09766,
36,124,6.7774,
36,135,6.96288,
36,145,14.2281,
36,161,7.03137,
36,162,10.0507,
36,171,8.85825,
36,175,5.6133,
36,182,13.7997,
36,185,18.4338,
36,188,13.5704,
36,199,12.3595,
36,203,7.06074,
36,207,27.6976,
36,210,11.3448,
36,224,30.0782,
36,235,11.5774,
36,241,6.30048,
36,247,416.521,
36,249,6.18632,
36,251,10.339,
36,257,6.54054,
36,260,25.5126,
36,266,5.18713,
36,294,11.6253,
36,300,5.21256,
36,307,9.21621,
36,309,9.28628,
36,313,6.03954,
36,315,27.3173,
36,323,15.6881,
36,332,6.55613,
36,334,5.93646,
36,341,5.5793,
36,342,16.4825,
36,347,6.09379,
36,348,7.99268,
36,350,13.6109,
36,355,15.8668,
36,357,5.70263,
36,361,6.17163,
36,362,5.01405,
36,372,5.21157,
36,375,31.6585,
36,378,46.0635,
36,388,8.61354,
37,84,15.9879,
37,98,7.01172,
37,103,118.952,
37,109,10.498,
37,119,8.28704,
37,138,891.088,
37,151,9.85429,
37,153,11.1904,
37,180,10.9427,
37,270,5.41903,
37,277,5.4576,
37,292,8.34649,
37,298,12.6883,
37,305,8.65508,
37,318,13.272,
38,49,32.5157,
38,60,60.5932,
38,74,11.9029,
38,99,7.33343,
38,109,14.8688,
38,120,5.83237,
38,123,9.77985,
38,126,8.42445,
38,128,20.9061,
38,141,37.5792,
38,142,9.51692,
38,153,21.363,
38,158,12.079,
38,167,7.10233,
38,191,28.6116,
38,194,7.73099,
38,201,8.27082,
38,206,9.49242,
38,233,7.12235,
38,239,12.7307,
38,254,12.2933,
38,261,193.77,
38,264,5.23093,
38,266,5.19782,
38,283,9.60953,
38,298,6.31071,
38,362,6.79827,
38,365,11.7382,
38,388,556.037,
39,129,12.2566,
39,133,8.02116,
39,163,19.7676,
39,186,6.95318,
39,200,17.4484,
39,251,87.2306,
39,270,36.3358,
39,286,5.28122,
39,306,9.42638,
39,328,5.88662,
39,338,5.70246,
39,345,8.65438,
40,50,779.557,
40,59,965.839,
40,62,26.285,
40,74,6.07199,
40,84,63.3847,
40,106,11.2447,
40,109,7.2865,
40,114,14.6805,
40,118,48.4313,
40,128,414.605,
40,136,18.2887,
40,160,6.78253,
40,201,19.0118,
40,205,5.26516,
40,207,22.2284,
40,215,5.15387,
40,270,26.3317,
40,293,5.21538,
40,298,10.7218,
40,310,38.6369,
40,326,9.43625,
40,383,12.854,
41,70,7.17219,
41,73,5.27538,
41,84,7.58569,
41,86,46.9368,
41,105,10.9023,
41,107,13.2739,
41,116,187.978,
41,153,11.4575,
41,154,26.3656,
41,195,52.7573,
41,197,10.792,
41,319,7.16938,
41,386,6.97693,
41,387,18.1481,
41,388,11.2195,
42,50,18.4189,
42,114,33.8003,
42,119,7.69805,
42,188,6.06006,
42,199,6.08058,
42,235,10.3101,
42,260,15.1669,
42,271,14.3837,
42,281,26.0926,
42,326,31.8119,
42,345,7.97866,
42,364,6.00924,
42,368,64.1128,
42,369,7.86608,
42,373,5.05324,
43,47,6.48265,
43,52,7.74183,
43,65,16.4682,
43,95,6.71993,
43,108,6.95041,
43,114,5.26483,
43,135,27.2714,
43,151,8.0934,
43,188,22.9689,
43,214,11.1457,
43,227,8.03548,
43,238,6.76164,
43,252,5.4612,
43,282,5.46378,
43,283,6.53923,
43,305,7.67267,
43,326,59.609,
43,352,6.13073,
43,364,29.1629,
44,45,14.4517,
44,50,17.8402,
44,62,18.2448,
44,76,14.6627,
44,84,6.87841,
44,96,13.0663,
44,100,15.2128,
44,108,73.7649,
44,114,248.77,
44,126,21.4482,
44,164,364.648,
44,167,141.343,
44,176,18.9934,
44,220,9.16431,
44,227,5.15736,
44,235,5.69409,
44,243,7.88838,
44,248,84.5453,
44,249,9.79267,
44,272,5.40899,
44,298,6.33031,
44,301,18.4607,
44,317,5.08476,
44,326,9.78442,
44,332,12.029,
44,338,15.9891,
44,340,68.0663,
44,355,5.26592,
44,373,7.41887,
45,49,11.5072,
45,50,19.1195,
45,53,16.5662,
45,61,3525.22,
45,62,21.8473,
45,79,5.44523,
45,118,8.32815,
45,119,7.54548,
45,123,373.2,
45,150,7.89706,
45,165,12.6277,
45,184,24.371,
45,188,10.8542,
45,196,5.83294,
45,219,9.58695,
45,226,5.91032,
45,259,5.21196,
45,264,26.4055,
45,270,23.3143,
45,283,18.0987,
45,284,31.2303,
45,347,17.1101,
45,387,6.74822,
46,50,9.369,
46,81,7.57124,
46,91,5.63435,
46,108,5.10995,
46,141,35.5867,
46,188,29.7642,
46,203,11.3558,
46,206,7.6002,
46,216,13.9518,
46,232,289.4,
46,242,5.43142,
46,244,10.5929,
46,252,57.8803,
46,326,638.423,
46,330,7.51285,
46,339,35.9613,
46,361,142.217,
46,362,9.51476,
46,372,5.92397,
47,50,5.00409,
47,79,5.70134,
47,84,5.38678,
47,95,25.035,
47,108,10.6568,
47,141,6.68846,
47,205,75.9826,
47,220,57.9964,
47,221,5.924,
47,247,19.5976,
47,260,32.3309,
47,267,8.05527,
47,286,20.1274,
47,306,122.914,
47,327,7.24239,
47,350,16.3733,
47,376,631.662,
47,379,8.76817,
48,108,18.8673,
48,110,18.2362,
48,131,9.48919,
48,164,6.9336,
48,168,8.93586,
48,171,24.1277,
48,173,34.6075,
48,180,12.2915,
48,220,6.42015,
48,249,8.10957,
48,298,80.6062,
48,311,9.51619,
48,345,9.21038,
49,84,40.8859,
49,92,9.6224,
49,98,9.12401,
49,114,16.6152,
49,118,5.42095,
49,260,51.9862,
49,264,19.7537,
49,270,8.10667,
49,278,9.65688,
49,287,16.1425,
49,314,12.7891,
49,345,6.30623,
50,75,7.92605,
50,77,43.3943,
50,82,7.18461,
50,85,7.35948,
50,94,5.20803,
50,95,7.03038,
50,96,35.7563,
50,108,6.20912,
50,115,6.50453,
50,119,22.3626,
50,123,9.76016,
50,124,6.55991,
50,135,7.83456,
50,141,12.638,
50,146,7.25605,
50,147,6.73242,
50,162,468.247,
50,165,89.8166,
50,167,29.4972,
50,179,59.615,
50,182,5.97461,
50,186,14.9415,
50,202,11.3782,
50,204,6.165,
50,205,5.90541,
50,208,202.556,
50,210,6.20387,
50,211,10.3411,
50,212,190.875,
50,217,5.70709,
50,227,5.0326,
50,232,101.422,
50,235,11.624,
50,250,5.66725,
50,251,10.3268,
50,252,50.6422,
50,260,11.5957,
50,265,6.77549,
50,273,22.8544,
50,278,6.34552,
50,293,7.26813,
50,304,38.6781,
50,309,5.51363,
50,322,171.02,
50,323,9.58924,
50,324,6.06767,
50,340,17.3342,
50,345,8.79625,
50,347,50.6181,
50,348,11.6521,
